Code,Name
005930,삼성전자
000660,SK하이닉스
005935,삼성전자우
005380,현대차
373220,LG에너지솔루션
402340,SK스퀘어
207940,삼성바이오로직스
012450,한화에어로스페이스
034020,두산에너빌리티
000270,기아
329180,HD현대중공업
105560,KB금융
028260,삼성물산
068270,셀트리온
032830,삼성생명
055550,신한지주
042660,한화오션
012330,현대모비스
006800,미래에셋증권
009150,삼성전기
035420,NAVER
267260,HD현대일렉트릭
010130,고려아연
006400,삼성SDI
086790,하나금융지주
015760,한국전력
009540,HD한국조선해양
042700,한미반도체
005490,POSCO홀딩스
272210,한화시스템
010120,LS ELECTRIC
298040,효성중공업
034730,SK
010140,삼성중공업
316140,우리금융지주
035720,카카오
000810,삼성화재
051910,LG화학
267250,HD현대
064350,현대로템
011200,HMM
066570,LG전자
024110,기업은행
000720,현대건설
138040,메리츠금융지주
000250,삼천당제약
096770,SK이노베이션
000150,두산
047810,한국항공우주
033780,KT&G
003670,포스코퓨처엠
086280,현대글로비스
017670,SK텔레콤
079550,LIG넥스원
352820,하이브
030200,KT
003550,LG
277810,레인보우로보틱스
278470,에이피알
0126Z0,삼성에피스홀딩스
005830,DB손해보험
071050,한국금융지주
047050,포스코인터내셔널
010950,S-Oil
018260,삼성에스디에스
039490,키움증권
005940,NH투자증권
323410,카카오뱅크
307950,현대오토에버
259960,크래프톤
298380,에이비엘바이오
007660,이수페타시스
005387,현대차2우B
000880,한화
006260,LS
003490,대한항공
016360,삼성증권
009830,한화솔루션
180640,한진칼
003230,삼양식품
377300,카카오페이
950160,코오롱티슈진
443060,HD현대마린솔루션
090430,아모레퍼시픽
000100,유한양행
326030,SK바이오팜
087010,펩트론
161390,한국타이어앤테크놀로지
029780,삼성카드
011070,LG이노텍
047040,대우건설
032640,LG유플러스
028300,HLB
128940,한미약품
052690,한전기술
028050,삼성E&A
267270,HD건설기계
064400,LG씨엔에스
005385,현대차우
078930,GS
241560,두산밥캣
214370,케어젠
310210,보로노이
034220,LG디스플레이
454910,두산로보틱스
001040,CJ
138930,BNK금융지주
175330,JB금융지주
001440,대한전선
088980,맥쿼리인프라
021240,코웨이
271560,오리온
032820,우리기술
022100,포스코DX
004020,현대제철
036570,엔씨소프트
002380,KCC
062040,산일전기
489790,한화비전
066970,엘앤에프
450080,에코프로머티
088350,한화생명
018880,한온시스템
251270,넷마블
082740,한화엔진
031210,서울보증보험
103590,일진전기
108490,로보티즈
000990,DB하이텍
353200,대덕전자
035250,강원랜드
011790,SKC
051900,LG생활건강
010060,OCI홀딩스
226950,올릭스
439260,대한조선
0009K0,에임드바이오
012510,더존비즈온
111770,영원무역
011170,롯데케미칼
011780,금호석유화학
347850,디앤디파마텍
017800,현대엘리베이터
001720,신영증권
036460,한국가스공사
012750,에스원
319400,현대무벡스
302440,SK바이오사이언스
004170,신세계
083650,비에이치아이
014680,한솔케미칼
004990,롯데지주
085620,미래에셋생명
023530,롯데쇼핑
084370,유진테크
097950,CJ제일제당
336260,두산퓨얼셀
005850,에스엘
009970,영원무역홀딩스
476830,알지노믹스
009420,한올바이오파마
440110,파두
043260,성호전자
103140,풍산
457190,이수스페셜티케미컬
140410,메지온
051600,한전KPS
00680K,미래에셋증권2우B
112610,씨에스윈드
058610,에스피지
279570,케이뱅크
001450,현대해상
028670,팬오션
139130,iM금융지주
178320,서진시스템
475830,오름테라퓨틱
071970,HD현대마린엔진
068760,셀트리온제약
139480,이마트
000120,CJ대한통운
008930,한미사이언스
026960,동서
003690,코리안리
000240,한국앤컴퍼니
030530,원익홀딩스
097230,HJ중공업
017960,한국카본
005290,동진쎄미켐
204320,HL만도
004800,효성
030000,제일기획
458870,씨어스테크놀로지
081660,미스토홀딩스
001430,세아베스틸지주
005440,현대지에프홀딩스
007340,DN오토모티브
031980,피에스케이홀딩스
383220,F&F
018670,SK가스
011210,현대위아
004370,농심
445680,큐리옥스바이오시스템즈
257720,실리콘투
067310,하나마이크론
006360,GS건설
039200,오스코텍
023590,다우기술
089030,테크윙
347700,스피어
323280,태성
218410,RFHIC
282330,BGF리테일
002790,아모레퍼시픽홀딩스
099320,쎄트렉아이
098460,고영
491000,리브스메드
192820,코스맥스
376900,로킷헬스케어
003540,대신증권
375500,DL이앤씨
000155,두산우
020150,롯데에너지머티리얼즈
069960,현대백화점
120110,코오롱인더
483650,달바글로벌
290650,엘앤씨바이오
038500,삼표시멘트
069620,대웅제약
078600,대주전자재료
000500,가온전선
395400,SK리츠
101490,에스앤에스텍
475150,SK이터닉스
361610,SK아이이테크놀로지
462870,시프트업
437730,삼현
034230,파라다이스
085660,차바이오텍
073240,금호타이어
001120,LX인터내셔널
006040,동원산업
090710,휴림로봇
008770,호텔신라
065350,신성델타테크
232140,와이씨
006280,녹십자
082270,젬백스
298020,효성티앤씨
115180,큐리언트
007070,GS리테일
032350,롯데관광개발
160190,하이젠알앤엠
161890,한국콜마
060370,LS마린솔루션
417200,LS머트리얼즈
003570,SNT다이내믹스
174900,앱클론
005070,코스모신소재
003530,한화투자증권
001800,오리온홀딩스
322000,HD현대에너지솔루션
124500,아이티센글로벌
012630,HDC
007810,코리아써키트
080220,제주반도체
007310,오뚜기
048410,현대바이오
030610,교보증권
397030,에이프릴바이오
020560,아시아나항공
456160,지투지바이오
388210,씨엠티엑스
082640,동양생명
294870,HDC현대산업개발
466100,클로봇
082920,비츠로셀
004000,롯데정밀화학
330590,롯데리츠
131290,티에스이
003090,대웅
077970,STX엔진
229640,LS에코에너지
127120,제이에스링크
189300,인텔리안테크
281740,레이크머티리얼즈
095610,테스
003240,태광산업
181710,NHN
100090,SK오션플랜트
300720,한일시멘트
000815,삼성화재우
415640,KB발해인프라
001740,SK네트웍스
100790,미래에셋벤처투자
032500,케이엠더블유
185750,종근당
089970,브이엠
388720,유일로보틱스
051915,LG화학우
000080,하이트진로
348370,엔켐
036540,SFA반도체
096530,씨젠
089860,롯데렌탈
010170,대한광통신
007390,네이처셀
